Term,Component,Class Status,Subject,Categories,Catalog,Reports Details » Course Catalog::CICS_TitleAbbrevRequest,Reports Details » TermCourseDescriptions::semesterNotes,Class Status,CICScapacity,CICSsavedSeats,Section,Class Nbr,zc.days,Mtg Time,Location,InstructorPrint,Enrl Capacity,Min Units,Max Units
1237,LEC,Active,COMPSCI,Data Science,524,HEALTH INFORMATICS/DATA SCI,Meets w/INFO 324. 01=UGs; 02=Grads.,Active,10,,01,84780,Tue Thu ,02:30 PM - 03:45 PM,,Lee,10,3,3
1237,LEC,Active,COMPSCI,Data Science,524,HEALTH INFORMATICS/DATA SCI,Meets w/INFO 324. 01=UGs; 02=Grads.,Active,10,,02,84781,Tue Thu ,02:30 PM - 03:45 PM,,Lee,10,3,3
1237,LEC,Active,COMPSCI,Data Science,532,SYSTEMS FOR DATA SCIENCE,"01=UG, 02=Grad.",Active,60,,01,76938,Mon Wed ,04:00 PM - 05:15 PM,On-Line,Klemperer,60,3,3
1237,LEC,Active,COMPSCI,Data Science,532,SYSTEMS FOR DATA SCIENCE,"01=UG, 02=Grad.",Active,60,40,02,76939,Mon Wed ,04:00 PM - 05:15 PM,On-Line,Klemperer,20,3,3
1237,LEC,Active,COMPSCI,Cybersec,560,INTRO COMPUTER&NETWRK SECURITY,"01=UG, 02=Grad. -02 Save 16 IGSR.",Active,30,,01,77008,Tue ,05:30 PM - 06:45 PM,LederCA301,Kermani,30,3,3
1237,LEC,Active,COMPSCI,Cybersec,560,INTRO COMPUTER&NETWRK SECURITY,"01=UG, 02=Grad. -02 Save 16 IGSR.",Active,36,16,02,77034,Tue ,05:30 PM - 06:45 PM,LederCA301,Kermani,20,3,3
1237,LEC,Active,COMPSCI,Cybersec,560,INTRO COMPUTER&NETWRK SECURITY,"01=UG, 02=Grad. -02 Save 16 IGSR.",Active,80,,01,84200,Tue ,05:30 PM - 06:45 PM,RLEARN,Kermani,80,3,3
1237,LEC,Active,COMPSCI,Cybersec,563,INTERNET LAW AND POLICY,"01=UG, 02=Grad.",Active,27,,01,77001,Tue Thu ,10:00 AM - 11:15 AM,CS 142,Cable,27,3,3
1237,LEC,Active,COMPSCI,Cybersec,563,INTERNET LAW AND POLICY,"01=UG, 02=Grad.",Active,28,10,02,77002,Tue Thu ,10:00 AM - 11:15 AM,CS 142,Cable,18,3,3
1237,LEC,Active,COMPSCI,Cybersec,563,INTERNET LAW AND POLICY,"01=UG, 02=Grad.",Active,30,,01,84282,Tue Thu ,10:00 AM - 11:15 AM,RLEARN,Cable,30,3,3
1237,LEC,Active,COMPSCI,Systems,578,DISTRIBUTED COMPTNG AND SYSTMS,Was 590CC; 01=UG; 02=Grad. -02 Save 15.,Active,38,,01,84533,Tue Thu ,11:30 AM - 12:45 PM,LederT 123,Venkataramani,38,3,3
1237,LEC,Active,COMPSCI,Systems,578,DISTRIBUTED COMPTNG AND SYSTMS,Was 590CC; 01=UG; 02=Grad. -02 Save 15.,Active,39,15,02,84720,Tue Thu ,11:30 AM - 12:45 PM,LederT 123,Venkataramani,24,3,3
1237,LEC,Active,COMPSCI,Data Science,589,MACHINE LEARNING,"01=UG, 02=Grad. Save 40 IGSR.",Active,97,,01,76944,Tue Thu ,05:30 PM - 06:45 PM,ELABII0119,Guan,97,3,3
1237,LEC,Active,COMPSCI,Data Science,589,MACHINE LEARNING,"01=UG, 02=Grad. Save 40 IGSR.",Active,96,40,02,76945,Tue Thu ,05:30 PM - 06:45 PM,ELABII0119,Guan,56,3,3
